,portfolio,benchmark,risk_free,portfolio_return,benchmark_return,excess_return
2019-09-30,9861553.711273398,3487015.8672,0.016921902,0.025113380235244787,0.01871043949788409,0.023703221735244785
2019-10-31,9712108.00769495,3562543.6895999997,0.017022913,-0.015154377084374282,0.021659730060433313,-0.016572953167707617
2019-11-29,9771461.261410715,3691860.036,0.018158352,0.006111263761558128,0.036298880144967294,0.004598067761558128
2019-12-31,9882865.547256973,3803287.7988,0.018604379,0.011400985263710028,0.030182011699644073,0.009850620347043362
2020-01-31,9652257.733090425,3801796.6056,0.017524431,-0.023334104168861614,-0.00039208003151136595,-0.024794473418861613
2020-02-28,9450993.48787439,3488835.8100000005,0.015016844,-0.020851520005112256,-0.0823191843401122,-0.022102923671778924
2020-03-31,8506688.42147088,3057919.7328000003,0.008599545,-0.09991595778952256,-0.12351285662824019,-0.10063258653952256
2020-04-30,8789241.716641258,3449925.9612000003,0.0064954769999999995,0.033215427810570075,0.12819376002425598,0.032674138060570075
2020-05-29,9088333.488122756,3614239.2372000003,0.0067238504,0.03402930322364517,0.04762805864472708,0.033468982356978504
2020-06-30,9226500.962790802,3686116.3452000003,0.007224772000000001,0.015202729394625969,0.019887202612432597,0.014600665061292636
2020-07-31,9006804.385228105,3893958.5316,0.006142773000000001,-0.023811472891912433,0.0563851400595774,-0.024323370641912433
2020-08-31,9476336.441862993,4173858.3084,0.0064450485,0.05213081538719311,0.07188052325893457,0.051593728012193106
2020-09-30,9126547.568153076,4015265.6004,0.0067150944,-0.03691182514000635,-0.03799666789857914,-0.03747141634000635
2020-10-30,8855658.425339846,3908484.468,0.0077234083,-0.02968144753427826,-0.026593790555066277,-0.030325064892611595
2020-11-30,9296336.924187806,4336322.649599999,0.0086905015,0.04976236409333379,0.1094639584992203,0.049038155635000455
2020-12-31,9346886.944322623,4503046.3236,0.0092768186,0.0054376278040539905,0.038448170828658146,0.004664559587387324
